;alias;target;tab;group;matplotlib;mayavi;dependencies;module;pkg_name;func_args
combine_labels;;FSMRI;Preparation;Diss;False;False;;diss_funcs;diss_funcs;fsmri,label_combinations
change_trig_channel_type;;MEEG;Preparation;Diss;False;False;;diss_funcs;diss_funcs;meeg,trig_channel
rereference_eog;;MEEG;Preparation;Diss;False;False;;diss_funcs;diss_funcs;meeg,eog_tuple
get_dig_eegs;;MEEG;Preparation;Diss;False;False;;diss_funcs;diss_funcs;meeg,n_eeg_channels,eeg_dig_first
pl1_laser_event_correction;;MEEG;Preparation;Diss;False;False;;diss_funcs;diss_funcs;meeg
get_ratings;;MEEG;Ratings;Diss;False;False;;diss_funcs;diss_funcs;meeg,target_event_id
get_ratings_laser;;MEEG;Ratings;Diss;False;False;;diss_funcs;diss_funcs;meeg,laser_target_event_id
remove_metadata;;MEEG;Ratings;Diss;False;False;;diss_funcs;diss_funcs;meeg
add_ratings_meta;;MEEG;Ratings;Diss;False;False;;diss_funcs;diss_funcs;meeg
get_load_cell_events_regression_baseline;;MEEG;Compute;Diss;False;False;;diss_funcs;diss_funcs;meeg,min_duration,shortest_event,adjust_timeline_by_msec,diff_window,min_ev_distance,max_ev_distance,len_baseline,baseline_limit,regression_degree,trig_channel,n_jobs
plot_gfp_group_stacked;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,group_colors,ch_types,show_plots,save_plots
plot_ltc_group_stacked;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,group_colors,target_labels,show_plots,cluster_trial
plot_ratings_evoked_comparision;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,ch_types,group_colors,show_plots,n_jobs
plot_load_cell_group_ave;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,trig_plt_time,baseline_limit,show_plots,apply_savgol,trig_channel
plot_ratings_combined;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,rating_groups,show_plots
evoked_temporal_cluster;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,ch_types,group_colors,compare_groups,cluster_trial,n_jobs,show_plots
ltc_temporal_cluster;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,compare_groups,group_colors,target_labels,cluster_trial,n_jobs,show_plots
label_power;;MEEG;Compute;Diss;False;False;;diss_funcs;diss_funcs;meeg,tfr_freqs,inverse_method,target_labels,baseline,tfr_baseline_mode,n_jobs
plot_label_power;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,tfr_freqs,target_labels,label_colors,group_colors,cluster_trial,show_plots
label_power_cond_permclust;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,compare_groups,label_colors,label_alias,tfr_freqs,target_labels,cluster_trial,n_jobs,show_plots
connectivity_geodesic_statistics;;Other;Plot;Diss;True;False;;diss_funcs;diss_funcs;ct,compare_groups,cluster_trial,show_plots,save_plots,con_fmin,con_fmax
export_ltcs;;Other;Preparation;Diss;False;False;;diss_funcs;diss_funcs;ltc_target_dir,cluster_trial,ct
con_t_test;;Other;Compute;Diss;False;False;;diss_funcs;diss_funcs;compare_groups,con_compare_labels,cluster_trial,ct
add_velo_meta;;MEEG;Preparation;Diss;False;False;;diss_funcs;diss_funcs;meeg
plot_velo_evoked;;Group;Plot;Diss;True;False;;diss_funcs;diss_funcs;group,show_plots
combine_meegs_rating;;MEEG;Ratings;Diss;False;False;;diss_funcs;diss_funcs;meeg,combine_groups
plot_rating_share;;Other;Ratings;Diss;True;False;;diss_funcs;diss_funcs;ct
